date,trade_num,pattern_time,direction,entry,stop,target,qty,result,pnl,balance
2025-06-29,1,11:40,LONG,107320.0,107311.0,107356.0,0.05590756615728662,SL,-5,145
2025-06-29,2,13:25,LONG,107351.0,107308.0,107523.0,0.05589142159830835,TP,20,165
2025-06-30,1,08:05,SHORT,108506.0,108627.0,108022.0,0.04132231404958678,TP,20,185
2025-07-01,1,08:05,SHORT,107226.0,107374.0,106634.0,0.033783783783783786,TP,20,205
2025-07-02,1,08:10,LONG,105650.0,105563.0,105998.0,0.05679129200189304,TP,20,225
2025-07-03,1,08:05,SHORT,108537.0,108614.0,108229.0,0.055280687691754885,SL,-5,220
2025-07-03,2,08:30,LONG,108717.0,108597.0,109197.0,0.041666666666666664,SL,-5,215
2025-07-03,3,09:35,LONG,108737.0,108535.0,109545.0,0.024752475247524754,TP,20,235
2025-07-04,1,08:05,SHORT,109076.0,109319.0,108104.0,0.0205761316872428,TP,20,255
2025-07-05,1,08:25,LONG,108104.0,108066.0,108256.0,0.055502109080145044,TP,20,275
2025-07-06,1,08:10,SHORT,108102.0,108142.0,107942.0,0.055503135927179884,SL,-5,270
2025-07-06,2,11:50,SHORT,108068.0,108212.0,107492.0,0.034722222222222224,SL,-5,265
2025-07-06,3,18:30,LONG,108233.0,108190.0,108405.0,0.05543595760997108,TP,20,285
2025-07-07,1,08:10,LONG,109508.0,109347.0,110152.0,0.031055900621118012,SL,-5,280
2025-07-07,2,10:15,SHORT,109170.0,109246.0,108866.0,0.05496015388843089,TP,20,300
2025-07-08,1,08:05,SHORT,107774.0,107977.0,106962.0,0.024630541871921183,SL,-5,295
2025-07-08,2,10:15,LONG,108020.0,107981.0,108176.0,0.05554526939455656,TP,20,315
2025-07-09,1,08:05,SHORT,108700.0,108770.0,108420.0,0.05519779208831647,TP,20,335
2025-07-10,1,08:15,SHORT,111115.0,111213.0,110723.0,0.05102040816326531,SL,-5,330
2025-07-10,2,12:00,SHORT,111211.0,111279.0,110939.0,0.053951497603654315,SL,-5,325
2025-07-10,3,12:40,SHORT,111197.0,111409.0,110349.0,0.02358490566037736,SL,-5,320
2025-07-11,1,08:25,SHORT,116571.0,116847.0,115467.0,0.018115942028985508,SL,-5,315
2025-07-11,2,09:30,SHORT,116757.0,117020.0,115705.0,0.019011406844106463,SL,-5,310
2025-07-11,3,10:40,LONG,117388.0,116998.0,118948.0,0.01282051282051282,SL,-5,305
2025-07-12,1,08:25,LONG,117751.0,117654.0,118139.0,0.05095498127404438,SL,-5,300
2025-07-12,2,10:45,LONG,117665.0,117581.0,118001.0,0.050992223685887905,TP,20,320
2025-07-13,1,08:05,LONG,117515.0,117471.0,117691.0,0.05105731183253202,TP,20,340
2025-07-14,1,08:05,SHORT,119723.0,120057.0,118387.0,0.014970059880239521,SL,-5,335
2025-07-14,2,09:15,LONG,121808.0,120021.0,128956.0,0.0027979854504756574,SL,-5,330
2025-07-14,3,21:25,SHORT,119727.0,120056.0,118411.0,0.015197568389057751,SL,-5,325
2025-07-15,1,08:25,SHORT,118424.0,118632.0,117592.0,0.02403846153846154,TP,20,345
2025-07-16,1,08:05,LONG,117500.0,117133.0,118968.0,0.013623978201634877,TP,20,365
